"EXTF";700;20;"Kontenbeschriftungen";2;20260812090000000;;"RE";"";"";12345;67890;20250101;4;;;"Kontenbeschriftungen"
"Konto";"Kontenbeschriftung"
65;"Unbebaute Grundstücke"
320;"Pkw"
400;"Betriebsausstattung"
480;"Geringwertige Wirtschaftsgüter"
800;"Festkapital"
970;"Sonstige Rückstellungen"
980;"Aktive Rechnungsabgrenzung"
1000;"Kasse"
1200;"Bank"
1360;"Geldtransit"
1530;"Forderungen gegen Gesellschafter"
1576;"Abziehbare Vorsteuer 19 %"
1590;"Durchlaufende Posten"
1776;"Umsatzsteuer 19 %"
1800;"Privatentnahmen"
3400;"Wareneingang 19 % VSt"
4120;"Gehälter"
4210;"Miete Geschäftsräume"
4260;"Instandhaltung betriebl. Räume"
4320;"Gewerbesteuer"
4360;"Versicherungen"
4530;"Laufende Kfz-Betriebskosten"
4630;"Geschenke abzugsfähig"
4650;"Bewirtungskosten"
4800;"Reparatur u. Instandh. Anlagen"
4830;"Abschreibungen auf Sachanlagen"
4832;"AfA Kfz"
4900;"Sonstige betriebliche Aufwendungen"
4920;"Telefon"
4930;"Bürobedarf"
4980;"Betriebsbedarf"
8100;"Steuerfreie Umsätze § 4 UStG"
8400;"Erlöse 19 % USt"
8404;"Erlöse Ladengeschäft 19 % USt"
8500;"Provisionserlöse"
9000;"Saldenvorträge Sachkonten"
10001;"Kunde Alpha GmbH"
10002;"Kunde Beta AG"
10003;"Kunde Gamma KG"
10004;"Kunde Alpha GmbH"
10005;"Kunde Omega (inaktiv)"
70001;"Lieferant Delta GmbH"
70002;"Lieferant Epsilon e.K."
70003;"Werbeagentur Zeta"
